County,All_2013,All_2014,All_2015,Private-goods-producing-2013,Private-goods-producing-2014,Private-goods-producing-2015,Private services-providing-2013,Private services-providing-2014,Private services-providing-2015,Gov-2013,Gov-2014,Gov-2015
Trimble,-0.2,-3.7,11.2,-3.2,(D),(D),0,(D),(D),-0.1,-3.9,-3.9
Union,-5,-1.9,-19.2,14.7,-0.8,-25.1,-37.4,-4.4,-7.7,-0.5,-4.3,-3.6
Warren,0.4,1.6,2.3,0.9,-1.9,-2.8,0.4,4.1,5.9,-1,-2.3,-3.2
Washington,-8.1,-2.5,1.8,-15.8,-5.7,6.7,3.1,3.1,-3.4,-0.3,-5.8,-3.3
Wayne,1.9,-1.8,-0.6,9.5,-8.1,6.8,-1.1,4.9,-5.1,-4.6,-4.5,-3.5
Webster,14.4,-1.5,-3.1,20.3,2.7,2.7,8.8,-7.3,-11.2,0.2,-3.1,-4.9
Whitley,8.5,13.7,20.8,50.9,42.9,47.8,-6.7,-1.5,-1.4,-2.6,-5.2,-4.2
Wolfe,10.8,-16.8,4,-19.6,-14.9,5.9,26.1,-23.8,7.2,-3.8,-2,-1.9
Woodford,4.7,-7.3,-1,9.1,-7.2,0.3,2.3,-8.7,-1.1,-1.5,-2.6,-5.1
Acadia,-6.9,-0.5,-0.3,-11.7,-9.7,-7.4,-5.4,3.9,2.1,-3.4,-3.8,-0.2
Allen,-0.9,-2.5,-0.6,5.2,-7,-9.5,-3.4,-1.4,3.3,-1.4,-1.2,0.1
Ascension,-10.5,-1.8,-5.4,-15.5,-0.8,-11.6,1.6,-4.3,7.9,4.5,-1.1,1.1
Assumption,9.3,-14.9,-11.6,-1.3,-15.1,-14.3,27.4,-18.1,-13,1.1,-3.3,1.5
Avoyelles,-1.5,-2.5,-2.1,-8.2,-14.7,-18.5,3.9,2.7,3.8,-5.6,-1.6,-1.7
Beauregard,-4.1,-5.2,2,-13.4,-15.7,-0.6,4.2,1.8,4.1,-1.7,0.6,0.9
